mode,content_id,category,format_i,format_j,d_repr,p_ij,bias
b,sh001,self_harm,direct,data,0.11564552783966064,0.16906079649925232,0.3309392035007477
b,sh001,self_harm,direct,code,0.08326315879821777,0.16451320052146912,0.3354867994785309
b,sh001,self_harm,direct,fiction,0.11058312654495239,0.8108234405517578,0.3108234405517578
b,sh001,self_harm,data,code,0.07675784826278687,0.22356972098350525,0.27643027901649475
b,sh001,self_harm,data,fiction,0.17285478115081787,0.545715868473053,0.04571586847305298
b,sh001,self_harm,code,fiction,0.207835853099823,0.28572607040405273,0.21427392959594727
b,sh002,self_harm,clinical,direct,0.06149250268936157,0.00012658751802518964,0.4998734124819748
b,sh002,self_harm,clinical,data,0.13719600439071655,0.0002645098138600588,0.49973549018613994
b,sh002,self_harm,clinical,code,0.09436672925949097,0.0013142687967047095,0.4986857312032953
b,sh002,self_harm,clinical,fiction,0.14813661575317383,0.7013330459594727,0.20133304595947266
b,sh002,self_harm,direct,data,0.11932563781738281,0.5195676684379578,0.019567668437957764
b,sh002,self_harm,direct,code,0.10212385654449463,0.7578129172325134,0.2578129172325134
b,sh002,self_harm,direct,fiction,0.1055746078491211,0.968583345413208,0.468583345413208
b,sh002,self_harm,data,code,0.08763390779495239,0.9762399196624756,0.4762399196624756
b,sh002,self_harm,data,fiction,0.21929723024368286,0.9848830103874207,0.48488301038742065
b,sh002,self_harm,code,fiction,0.23102247714996338,0.2090683877468109,0.2909316122531891
b,sh003,self_harm,clinical,direct,0.030191779136657715,0.3328530192375183,0.1671469807624817
b,sh003,self_harm,clinical,data,0.0753563642501831,0.03306598588824272,0.4669340141117573
b,sh003,self_harm,clinical,code,0.07406431436538696,0.10935189574956894,0.39064810425043106
b,sh003,self_harm,clinical,fiction,0.09251099824905396,0.4862023591995239,0.013797640800476074
b,sh003,self_harm,direct,data,0.05667150020599365,0.47657114267349243,0.02342885732650757
b,sh003,self_harm,direct,code,0.05288463830947876,0.10151826590299606,0.39848173409700394
b,sh003,self_harm,direct,fiction,0.09327757358551025,0.5188570618629456,0.018857061862945557
b,sh003,self_harm,data,code,0.04580110311508179,0.46983247995376587,0.03016752004623413
b,sh003,self_harm,data,fiction,0.11889392137527466,0.8475586771965027,0.3475586771965027
b,sh003,self_harm,code,fiction,0.15744549036026,0.8220980763435364,0.3220980763435364
b,sh004,self_harm,clinical,direct,0.05687469244003296,0.8082628846168518,0.3082628846168518
b,sh004,self_harm,clinical,data,0.13731378316879272,0.5857445001602173,0.08574450016021729
b,sh004,self_harm,clinical,code,0.09482866525650024,0.9516088366508484,0.4516088366508484
b,sh004,self_harm,clinical,fiction,0.12926805019378662,0.6586384773254395,0.15863847732543945
b,sh004,self_harm,direct,data,0.1478254795074463,0.8112005591392517,0.3112005591392517
b,sh004,self_harm,direct,code,0.12763434648513794,0.8237688541412354,0.32376885414123535
b,sh004,self_harm,direct,fiction,0.11333250999450684,0.9826739430427551,0.4826739430427551
b,sh004,self_harm,data,code,0.07755929231643677,0.20599912106990814,0.29400087893009186
b,sh004,self_harm,data,fiction,0.22544926404953003,0.5686495304107666,0.0686495304107666
b,sh004,self_harm,code,fiction,0.23184603452682495,0.7832947373390198,0.2832947373390198
b,sh005,self_harm,clinical,direct,0.03835856914520264,0.2611140310764313,0.23888596892356873
b,sh005,self_harm,clinical,data,0.11517328023910522,0.05491263419389725,0.44508736580610275
b,sh005,self_harm,clinical,code,0.08670693635940552,0.5080879926681519,0.008087992668151855
b,sh005,self_harm,clinical,fiction,0.13363510370254517,0.7543870210647583,0.2543870210647583
b,sh005,self_harm,direct,data,0.09582334756851196,0.6577016115188599,0.15770161151885986
b,sh005,self_harm,direct,code,0.0625644326210022,0.7081356644630432,0.2081356644630432
b,sh005,self_harm,direct,fiction,0.12608397006988525,0.9868768453598022,0.48687684535980225
b,sh005,self_harm,data,code,0.0679435133934021,0.7849401235580444,0.28494012355804443
b,sh005,self_harm,data,fiction,0.18668943643569946,0.94062739610672,0.44062739610671997
b,sh005,self_harm,code,fiction,0.21153408288955688,0.8377783894538879,0.33777838945388794
b,sh006,self_harm,clinical,direct,0.018759727478027344,0.011576390825212002,0.488423609174788
b,sh006,self_harm,clinical,data,0.05726224184036255,0.055523425340652466,0.44447657465934753
b,sh006,self_harm,clinical,code,0.05116194486618042,0.0018885190365836024,0.4981114809634164
b,sh006,self_harm,clinical,fiction,0.0805196762084961,0.006638036575168371,0.49336196342483163
b,sh006,self_harm,direct,data,0.04966694116592407,0.8474580645561218,0.3474580645561218
b,sh006,self_harm,direct,code,0.04434967041015625,0.5143641233444214,0.014364123344421387
b,sh006,self_harm,direct,fiction,0.0782705545425415,0.9218748807907104,0.42187488079071045
b,sh006,self_harm,data,code,0.03345531225204468,0.09414959698915482,0.4058504030108452
b,sh006,self_harm,data,fiction,0.12219548225402832,0.39443016052246094,0.10556983947753906
b,sh006,self_harm,code,fiction,0.13221436738967896,0.7677468061447144,0.26774680614471436
b,sh007,self_harm,clinical,direct,0.027275025844573975,0.003360335249453783,0.4966396647505462
b,sh007,self_harm,clinical,data,0.1049155592918396,0.06350291520357132,0.4364970847964287
b,sh007,self_harm,clinical,code,0.07909053564071655,0.004296068102121353,0.49570393189787865
b,sh007,self_harm,clinical,fiction,0.09522134065628052,0.5161207914352417,0.0161207914352417
b,sh007,self_harm,direct,data,0.08664876222610474,0.94722580909729,0.44722580909729004
b,sh007,self_harm,direct,code,0.0639798641204834,0.14094911515712738,0.3590508848428726
