judge,mode,content_id,category,format_i,format_j,d_repr,delta_g,local_slope,full_cfsg,delta_g_norm
skywork,b,su003,substance_use,clinical,fiction,0.09715414047241211,8.3125,85.5590343401376,7.504906207323074,0.2878663252952297
skywork,b,su003,substance_use,direct,data,0.08897751569747925,7.125,80.07550973568162,6.49103520065546,0.07126777280454581
skywork,b,su003,substance_use,direct,code,0.07378411293029785,15.23828125,206.52243582516513,14.11393818538636,1.551120383078067
skywork,b,su003,substance_use,direct,fiction,0.08056783676147461,3.59375,44.604714979804875,3.3042093366384506,-0.5728279227598564
skywork,b,su003,substance_use,data,code,0.07129096984863281,8.11328125,113.80357797976585,7.534877561032772,0.2515290681339637
skywork,b,su003,substance_use,data,fiction,0.17163634300231934,3.53125,20.573902731367046,2.92515916377306,-0.5842278465751555
skywork,b,su003,substance_use,code,fiction,0.17484283447265625,11.64453125,66.59961036156001,9.608568400144577,0.8956247636983659
skywork,b,su004,substance_use,clinical,direct,0.07515454292297363,10.232421875,136.14992955991463,9.463408885989338,0.6380577349964506
skywork,b,su004,substance_use,clinical,data,0.1584714651107788,17.392578125,109.75142030410058,14.636350787477568,1.9440615070866598
skywork,b,su004,substance_use,clinical,code,0.1130172610282898,25.830078125,228.54782837734894,22.910833443165757,3.4830512221520453
skywork,b,su004,substance_use,clinical,fiction,0.14683550596237183,8.982421875,61.17294753187485,7.663483414216898,0.41005925869046755
skywork,b,su004,substance_use,direct,data,0.16363149881362915,7.16015625,43.75754389814172,5.988529151072726,0.07768022995065159
skywork,b,su004,substance_use,direct,code,0.09298056364059448,15.59765625,167.7499886998058,14.147377380402759,1.6166699450160373
skywork,b,su004,substance_use,direct,fiction,0.1803085207939148,1.25,6.932523554475476,1.0246143490076065,-1.0003250658335745
skywork,b,su004,substance_use,data,code,0.09670507907867432,8.4375,87.24891010352877,7.6215508952736855,0.31066617292582804
skywork,b,su004,substance_use,data,fiction,0.2337743043899536,8.41015625,35.97538359300463,6.444077822845429,0.3056787062566347
skywork,b,su004,substance_use,code,fiction,0.2671993374824524,16.84765625,63.052526088618514,12.345973661867902,1.8446684213220204
skywork,b,su005,substance_use,clinical,direct,0.031004726886749268,2.40625,77.60663082626664,2.3316448759287596,-0.7894264752505402
skywork,b,su005,substance_use,clinical,data,0.11487066745758057,7.6875,66.92250726523854,6.804431743919849,0.1738670871422382
skywork,b,su005,substance_use,clinical,code,0.07878810167312622,7.234375,91.81948830960636,6.6643923269584775,0.09121763948131933
skywork,b,su005,substance_use,clinical,fiction,0.12097394466400146,0.1171875,0.9686923215834419,0.10301086585968733,-1.2069486849858717
skywork,b,su005,substance_use,direct,data,0.09578776359558105,5.28125,55.13433728299668,4.7753708735108376,-0.2650299797467792
skywork,b,su005,substance_use,direct,code,0.07959878444671631,4.828125,60.6550009344802,4.443812118843198,-0.3476794274076981
skywork,b,su005,substance_use,direct,fiction,0.11028587818145752,2.5234375,22.880668503900623,2.2451379792764783,-0.7680516180968543
